Target (Gene),Action Type,Action,Drug Name,Specific Disease,num_drugs,num_diseases,Broad Category,maxClinicalStage,immune_indication
PRKCD,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Platelet-derived growth factor receptor inhibitor; Protein kinase C (PKC) inhibitor; Stem cell growth factor receptor inhibitor,MIDOSTAURIN,"acute myeloid leukemia; acute myeloid leukemia by FAB classification; aggressive systemic mastocytosis; chronic myelogenous leukemia, BCR-ABL1 positive; juvenile myelomonocytic leukemia; mast cell leukemia; mast cell sarcoma; mastocytosis; myeloid leukemia; myeloid sarcoma; systemic mastocytosis; systemic mastocytosis with an associated clonal hematologic non-mast cell lineage disease",1,12,immune system disorder,APPROVAL,1
IDH2,INHIBITOR,"Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor; IDH1/IDH2 inhibitor; Isocitrate dehydrogenase [NADP], mitochondrial inhibitor; Isocitrate dehydrogenase [NADP], mitochondrial inhibitor",ENASIDENIB MESYLATE; VORASIDENIB,acute myeloid leukemia; acute myeloid leukemia by FAB classification,2,2,immune system disorder,APPROVAL,1
ITK,INHIBITOR,Fibroblast growth factor receptor 1 inhibitor; Fibroblast growth factor receptor 3 inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase ITK/TSK inhibitor; Tyrosine-protein kinase LCK inhibitor; Vascular endothelial growth factor receptor inhibitor; Tyrosine-protein kinase JAK3 inhibitor; TEC family kinase inhibitor,PAZOPANIB; RITLECITINIB,Crohn disease; acute myeloid leukemia; lymphedema; plasma cell myeloma; psoriasis; rheumatoid arthritis; type 1 diabetes mellitus; ulcerative colitis; vitiligo,2,9,immune system disorder,APPROVAL,1
IDH1,INHIBITOR,"Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor; Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor; IDH1/IDH2 inhibitor; Isocitrate dehydrogenase [NADP], mitochondrial inhibitor",IVOSIDENIB; OLUTASIDENIB; VORASIDENIB,acute myeloid leukemia; acute myeloid leukemia by FAB classification; chronic myelomonocytic leukemia; myeloid leukemia; myeloproliferative neoplasm,3,5,immune system disorder,APPROVAL,1
EZH2,INHIBITOR,Histone-lysine N-methyltransferase EZH2 inhibitor,TAZEMETOSTAT; TAZEMETOSTAT HYDROBROMIDE,B-cell non-Hodgkin lymphoma; acute myeloid leukemia; diffuse large B-cell lymphoma; follicular lymphoma; mantle cell lymphoma; plasma cell myeloma,2,6,immune system disorder,APPROVAL,1
CRBN,MODULATOR; INHIBITOR,CRL4(CRBN) E3 ubiquitin ligase modulator; CRL4(CRBN) E3 ubiquitin ligase inhibitor,LENALIDOMIDE,B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Crohn disease; Erdheim-Chester disease; Langerhans cell histiocytosis; MALT lymphoma; POEMS syndrome; T-cell acute lymphoblastic leukemia; Waldenstrom macroglobulinemia; acute monocytic leukemia; acute myeloid leukemia; acute myeloid leukemia by FAB classification; adult T-cell leukemia/lymphoma; chronic myelomonocytic leukemia; cutaneous lupus erythematosus; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; hemophagocytic syndrome; high grade B-cell lymphoma; immune system disorder; immunoglobulin G4-related sclerosing disease; indolent B-cell non-Hodgkin lymphoma; juvenile myelomonocytic leukemia; lymphoplasmacytic lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; marginal zone lymphoma; myelofibrosis; neoplasm of mature B-cells; neutropenia; nodal marginal zone B-cell lymphoma; plasma cell leukemia; plasma cell myeloma; plasmacytoma; primary central nervous system lymphoma; primary effusion lymphoma; primary myelofibrosis; sinus histiocytosis with massive lymphadenopathy; smoldering plasma cell myeloma; splenic marginal zone lymphoma; systemic lupus erythematosus,1,42,immune system disorder,APPROVAL,1
CRBN,INHIBITOR,CRL4(CRBN) E3 ubiquitin ligase inhibitor,POMALIDOMIDE; THALIDOMIDE,"B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Castleman disease; Crohn disease; HIV wasting syndrome; Langerhans cell histiocytosis; MALT lymphoma; POEMS syndrome; Sjogren syndrome; T-cell large granular lymphocyte leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute monocytic leukemia; acute myeloid leukemia; acute myeloid leukemia by FAB classification; ankylosing spondylitis; autoimmune thrombocytopenic purpura; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; diffuse large B-cell lymphoma of the central nervous system; discoid lupus erythematosus; essential thrombocythemia; follicular lymphoma; graft versus host disease; idiopathic multicentric Castleman disease; immune system disorder; inflammatory bowel disease; juvenile myelomonocytic leukemia; lymphoplasmacytic lymphoma; mantle cell lymphoma; marginal zone lymphoma; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myeloid leukemia; myeloproliferative neoplasm; plasma cell leukemia; plasma cell myeloma; primary central nervous system lymphoma; primary myelofibrosis; proctitis; psoriasis; smoldering plasma cell myeloma; systemic mastocytosis; systemic sclerosis; ulcerative colitis",2,48,immune system disorder,APPROVAL,1
IL12B,INHIBITOR,Interleukin-12 inhibitor; Interleukin-23 inhibitor; Interleukin-23 inhibitor,BRIAKINUMAB; GUSELKUMAB; MIRIKIZUMAB; RISANKIZUMAB; TILDRAKIZUMAB; USTEKINUMAB,Crohn disease; Hailey-Hailey disease; Netherton syndrome; Sjogren syndrome; ankylosing spondylitis; atopic eczema; bullous pemphigoid; celiac disease; common variable immunodeficiency; generalized pustular psoriasis; immune system disorder; inflammatory bowel disease; leukocyte adhesion deficiency 1; multiple sclerosis; palmoplantar pustulosis; psoriasis; psoriasis vulgaris; psoriasis-related juvenile idiopathic arthritis; psoriatic arthritis; pustular psoriasis; rheumatoid arthritis; systemic lupus erythematosus; systemic sclerosis; type 1 diabetes mellitus; ulcerative colitis; vitiligo,6,26,immune system disorder,APPROVAL,1
BLK,INHIBITOR,Bcr/Abl fusion protein inhibitor; Ephrin type-A receptor 2 inhibitor; Platelet-derived growth factor receptor beta inhibitor; SRC inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase ABL inhibitor,DASATINIB ANHYDROUS,"B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute myeloid leukemia; blast phase chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelogenous leukemia, BCR-ABL1 positive; diffuse large B-cell lymphoma; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; systemic mastocytosis",1,14,immune system disorder,APPROVAL,1
IL2RB,AGONIST,Interleukin-15 receptor agonist; Interleukin-2 receptor agonist,ALDESLEUKIN; NOGAPENDEKIN ALFA INBAKICEPT,"AIDS; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Crohn disease; Henoch-Schoenlein purpura; Sjogren syndrome; T-cell acute lymphoblastic leukemia; Wiskott-Aldrich syndrome; acute graft versus host disease; acute myeloid leukemia; allergic rhinitis; ankylosing spondylitis; autoimmune encephalitis; autoimmune hepatitis; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; common variable immunodeficiency; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; granulomatosis with polyangiitis; indolent B-cell non-Hodgkin lymphoma; juvenile myelomonocytic leukemia; lymphopenia; macrophage activation syndrome; mantle cell lymphoma; multiple sclerosis; myeloid leukemia; myeloproliferative neoplasm; neoplasm of mature B-cells; pemphigus vulgaris; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; primary progressive multiple sclerosis; psoriasis; rheumatoid arthritis; secondary progressive multiple sclerosis; systemic lupus erythematosus; type 1 diabetes mellitus; ulcerative colitis",2,42,immune system disorder,APPROVAL,1
IL2RB,INHIBITOR,Interleukin-2 receptor inhibitor,BASILIXIMAB; DACLIZUMAB,"acute graft versus host disease; acute myeloid leukemia; adult T-cell leukemia/lymphoma; autoimmune thrombocytopenic purpura; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; graft versus host disease; granulomatosis with polyangiitis; immune system disorder; multiple sclerosis; plasma cell myeloma; psoriasis vulgaris; relapsing-remitting multiple sclerosis; type 1 diabetes mellitus; ulcerative colitis",2,15,immune system disorder,APPROVAL,1
IL2RB,BINDING AGENT; INHIBITOR,Interleukin-2 receptor binding agent; Elongation factor 2 inhibitor,DENILEUKIN DIFTITOX,B-cell chronic lymphocytic leukemia; acute graft versus host disease; acute myeloid leukemia; adult T-cell leukemia/lymphoma; diffuse large B-cell lymphoma; follicular lymphoma; systemic mastocytosis,1,7,immune system disorder,APPROVAL,1
PDGFRB,INHIBITOR,Bcr/Abl fusion protein inhibitor; Ephrin type-A receptor 2 inhibitor; Platelet-derived growth factor receptor beta inhibitor; SRC inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase ABL inhibitor; Bcr/Abl fusion protein inhibitor; Stem cell growth factor receptor inhibitor; Platelet-derived growth factor receptor beta inhibitor; Tyrosine-protein kinase ABL inhibitor; Discoidin domain-containing receptor 2 inhibitor; Ephrin type-A receptor 2 inhibitor; Fibroblast growth factor receptor 2 inhibitor; MAP kinase p38 beta inhibitor; Platelet-derived growth factor receptor inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase TIE-2 inhibitor; Fibroblast growth factor receptor 1 inhibitor; Nerve growth factor receptor Trk-A inhibitor; Serine/threonine-protein kinase RAF inhibitor; Tyrosine-protein kinase ABL inhibitor; Tyrosine-protein kinase FRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Fibroblast growth factor receptor 1 inhibitor; Fibroblast growth factor receptor 3 inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase ITK/TSK inhibitor; Tyrosine-protein kinase LCK inhibitor; Vascular endothelial growth factor receptor inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Macrophage colony stimulating factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Vascular endothelial growth factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Platelet-derived growth factor receptor beta inhibitor; Platelet-derived growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor 3 inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Fibroblast growth factor receptor 3 inhibitor; Platelet-derived growth factor receptor inhibitor; Vascular endothelial growth factor receptor inhibitor; Fibroblast growth factor receptor inhibitor; Serine/threonine-protein kinase RAF inhibitor; Platelet-derived growth factor receptor beta inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Platelet-derived growth factor receptor inhibitor; Protein kinase C (PKC) inhibitor; Stem cell growth factor receptor inhibitor; Vascular endothelial growth factor receptor inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor,CEDIRANIB; DASATINIB ANHYDROUS; IMATINIB; IMATINIB MESYLATE; MASITINIB; MIDOSTAURIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; QUIZARTINIB; REGORAFENIB; SORAFENIB; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE,"B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute leukemia of ambiguous lineage; acute monocytic leukemia; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; aggressive systemic mastocytosis; blast phase chronic myelogenous leukemia, BCR-ABL1 positive; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; cutaneous mastocytosis; diffuse large B-cell lymphoma; graft versus host disease; hypereosinophilic syndrome; idiopathic hypereosinophilic syndrome; juvenile myelomonocytic leukemia; limited cutaneous systemic sclerosis; lymphedema; mantle cell lymphoma; mast cell leukemia; mast cell sarcoma; mastocytosis; mixed phenotype acute leukemia; multiple sclerosis; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myeloid leukemia; myeloid sarcoma; myeloproliferative neoplasm; palmoplantar pustulosis; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary myelofibrosis; psoriasis; psoriasis vulgaris; rheumatoid arthritis; scleroderma; seasonal allergic rhinitis; systemic mastocytosis; systemic mastocytosis with an associated clonal hematologic non-mast cell lineage disease; systemic sclerosis; thymic carcinoma; thymoma; type 1 diabetes mellitus",15,52,immune system disorder,APPROVAL,1
PIK3CG,INHIBITOR,PI3-kinase p110-gamma subunit inhibitor; PI3-kinase p110-delta subunit inhibitor,DUVELISIB; DUVELISIB MONOHYDRATE,B-cell chronic lymphocytic leukemia; adult T-cell leukemia/lymphoma; diffuse large B-cell lymphoma; follicular lymphoma; marginal zone lymphoma; neoplasm of mature B-cells; rheumatoid arthritis,2,7,immune system disorder,APPROVAL,1
IL17F,INHIBITOR,Interleukin 17A inhibitor; Interleukin-17F inhibitor,BIMEKIZUMAB,ankylosing spondylitis; immune system disorder; palmoplantar pustulosis; psoriasis; psoriasis vulgaris; psoriasis-related juvenile idiopathic arthritis; psoriatic arthritis; rheumatoid arthritis,1,8,immune system disorder,APPROVAL,1
MAP2K1,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor; Dual specificity mitogen-activated protein kinase kinase 2 inhibitor; Dual specificity mitogen-activated protein kinase kinase 2 inhibitor; Dual specificity mitogen-activated protein kinase kinase 1 inhibitor; Dual specificity mitogen-activated protein kinase kinase 2 inhibitor; Dual specificity mitogen-activated protein kinase kinase 1 inhibitor; Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,BINIMETINIB; COBIMETINIB; MIRDAMETINIB; SELUMETINIB; TRAMETINIB; TRAMETINIB DIMETHYL SULFOXIDE,"B-cell chronic lymphocytic leukemia; Erdheim-Chester disease; Langerhans cell histiocytosis; Noonan syndrome; acute myeloid leukemia; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; hairy cell leukemia; juvenile myelomonocytic leukemia; juvenile xanthogranuloma; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; plasma cell myeloma; rheumatoid arthritis; sinus histiocytosis with massive lymphadenopathy",6,16,immune system disorder,APPROVAL,1
